Temperatura (C);Amperagem(µA);Resistência(Ω)
19.1;-0.008;107.2
19.2;-0.009;107.3
19.3;-0.009;107.4
19.4;-0.010;107.6
19.5;-0.010;107.7
19.6;-0.010;107.8
20;-0.010;107.9
21;-0.011;108.1
22;-0.011;108.2
23;-0.012;108.4
24;-0.012;108.7
25;-0.013;108.9
26;-0.014;109.2
27;-0.015;109.6
28;-0.016;109.9
29;-0.017;110.2
30;-0.018;110.6
31;-0.020;111.0
32;-0.022;111.3
33;-0.024;111.7
34;-0.025;112.2
35;-0.027;112.6
36;-0.029;112.9
37;-0.031;113.4
38;-0.033;113.7
39;-0.036;114
40;-0.038;114.4
41;-0.043;114.9
42;-0.045;115.3
43;-0.046;115.6
44;-0.047;116
45;-0.050;116.4
46;-0.055;116.7
47;-0.058;117
48;-0.069;117.5
49;-0.070;118
50;-0.080;118.2
51;-0.081;118.7
52;-0.086;119.2
53;-0.089;119.7
54;-0.091;120
55;-0.108;120.4
56;-0.111;120.8
57;-0.121;121.2
58;-0.125;121.6
59;-0.144;122.2
60;-0.154;122.5
61;-0.162;122.9
62;-0.166;123.2
63;-0.162;123.6
64;-0.188;124.1
65;-0.190;124.6
66;-0.206;125.1
67;-0.232;125.5
68;-0.238;125.9
69;-0.240;126.3
70;-0.242;126.8
71;-0.250;127.1
72;-0.271;127.6
73;-0.313;128
74;-0.306;128.4
75;-0.316;128.8
76;-0.331;129.4
77;-0.346;130
78;-0.368;130.6
79;-0.405;131.2
79.5;-0.425;131.6
79.8;-0.409;131.8
79.9;-0.410;131.8
80;-0.408;131.9
80.1;-0.403;132
80.2;-0.406;132
80.3;-0.410;132.1
80.6;-0.409;132.1
81;-0.408;132.2
82;-0.400;132.2
82.4;-0.386;132.3
82;-0.381;132.3
81.5;-0.373;132.3
81;-0.360;132.3
80.5;-0.351;132.3
80;-0.339;132.2
79.5;-0.329;132.1
79;-0.320;132
78.5;-0.309;131.9
78;-0.301;131.8
77.5;-0.292;131.7
77;-0.282;131.5
76.5;-0.276;131.4
76;-0.269;131.3
75.5;-0.261;131.1
75;-0.253;131
74;-0.247;130.5
73;-0.235;130.2
72;-0.225;129.9
71;-0.213;129.6
70;-0.202;129.2
69;-0.190;128.9
68;-0.181;128.6
67;-0.171;128.2
66;-0.161;127.8
65;-0.152;127.4
64;-0.144;127
63;-0.137;126.7
62;-0.128;126.2
61;-0.121;125.8
60;-0.114;125.4
59;-0.108;125
58;-0.102;124.6
57;-0.096;124.1
56;-0.090;123.7
55;-0.085;123.3
54;-0.08;122.9
53;-0.075;122.4
52;-0.071;122
51;-0.066;121.5
50.5;-0.064;121.3
50;-0.063;121
49.5;-0.060;120.8
49;-0.059;120.6
48.5;-0.057;120.4
48;-0.055;120.2
47.5;-0.054;120
47;-0.052;119.8
46.5;-0.050;119.5
46;-0.049;119.3
45.5;-0.047;119.1
45;-0.046;118.9
44.5;-0.044;118.6
44;-0.043;118.4
43.5;-0.042;118.2
43;-0.040;117.9
42.5;-0.040;117.8
42;-0.038;117.5
41.5;-0.037;117.3
41;-0.036;117
40.5;-0.035;116.8
40;-0.033;116.6
39.5;-0.033;116.4
39;-0.032;116.1
38.5;-0.031;115.9
38;-0.030;115.7
37.5;-0.029;115.5
37;-0.028;115.2
36.5;-0.027;115
36;-0.026;114.8
35.5;-0.025;114.5
35;-0.024;114.3
34.5;-0.024;114
34;-0.023;113.9
33.5;-0.022;113.6
33;-0.022;113.4
32.5;-0.021;113.2
32;-0.020;113
31.5;-0.019;112.7
31;-0.019;112.5
30.5;-0.018;112.3
30;-0.018;112
